OI	Chng in OI	Volume	IV	LTP	Chng	Bid Qty	Bid	Ask	Ask Qty	Strike	Bid Qty	Bid	Ask	Ask Qty	Chng	LTP	IV	Volume	Chng in OI	OI
Calls chart for row 47	1,09,237	8,481	12,77,849	12.65	45.45	-24.10	975	45.25	45.40	2,925	23,500.00	780	328.50	329.45	780	-10.00	329.15	15.66	1,77,215	3,264	33,896	Puts chart for row 47
Calls chart for row 48	29,480	7,960	4,61,836	12.64	35.20	-22.30	1,885	35.25	35.40	4,030	23,550.00	260	367.85	368.80	195	-8.10	369.50	16.13	17,001	568	2,933	Puts chart for row 48
Calls chart for row 49	86,706	33,803	8,19,712	12.66	27.20	-19.85	260	27.10	27.15	1,105	23,600.00	195	410.05	411.15	130	-6.70	410.00	16.11	36,944	573	10,217	Puts chart for row 49
Calls chart for row 50	28,388	11,755	4,35,320	12.77	21.10	-17.35	3,575	21.05	21.15	6,370	23,650.00	260	453.45	454.80	130	-3.95	454.10	17.76	6,863	220	3,219	Puts chart for row 50
Calls chart for row 51	93,270	38,785	8,62,759	12.90	16.30	-14.65	5,135	16.30	16.40	6,760	23,700.00	260	498.40	499.85	65	-0.25	500.00	17.42	13,154	-772	7,455	Puts chart for row 51
Calls chart for row 52	27,734	-5,916	4,07,751	13.03	12.70	-12.90	4,095	12.70	12.75	2,795	23,750.00	130	544.80	547.15	130	3.80	549.35	17.91	2,805	-27	974	Puts chart for row 52
Calls chart for row 53	80,299	76	5,73,171	13.14	9.85	-10.65	7,280	9.80	9.85	9,490	23,800.00	65	591.80	594.35	65	1.15	591.20	18.84	7,481	-202	6,119	Puts chart for row 53
Calls chart for row 54	28,040	8,038	2,70,045	13.37	7.80	-9.15	1,690	7.80	7.85	8,580	23,850.00	130	639.05	642.35	130	11.05	648.80	20.72	866	40	492	Puts chart for row 54
Calls chart for row 55	54,503	-14,387	4,66,276	13.65	6.25	-7.35	10,985	6.25	6.30	13,195	23,900.00	65	687.85	690.90	130	3.70	687.35	20.44	1,325	-15	2,855	Puts chart for row 55
Calls chart for row 56	20,328	2,639	2,05,582	13.97	5.15	-6.30	9,685	5.15	5.20	6,695	23,950.00	65	734.85	741.95	65	3.30	735.80	21.77	266	-59	329	Puts chart for row 56
Calls chart for row 57	1,28,872	15,683	7,00,286	14.36	4.45	-5.10	63,180	4.40	4.45	1,820	24,000.00	325	785.80	788.45	260	14.10	791.50	22.29	6,960	-1,265	9,420	Puts chart for row 57
Calls chart for row 58	26,274	136	1,96,892	14.72	3.75	-4.20	5,460	3.70	3.75	7,215	24,050.00	65	834.25	839.40	65	9.80	836.65	24.15	87	-9	104	Puts chart for row 58
Calls chart for row 59	50,233	-9,000	3,47,293	15.02	3.10	-3.75	46,800	3.10	3.15	58,890	24,100.00	195	883.85	888.75	130	5.15	883.20	24.61	442	-22	722	Puts chart for row 59
Calls chart for row 60	15,125	-1,470	1,01,175	15.52	2.85	-3.05	31,655	2.80	2.85	29,965	24,150.00	65	932.95	939.25	130	6.90	933.85	25.69	27	-3	38	Puts chart for row 60
